ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
PFE,2022-09-08,2022-09-21,37.72664655481923,36.73469888833799,-0.0263,13,📉 바닥반등,★★★★★ (6.5),0.5023,Healthcare,트레일링(-6.4%),61.64841116644007,-61.15,0,,-0.0085,-0.0154,-0.0379,38.60868919213913,32.41495561394056,-0.11402025118115333,0.2415404790598296,0.022424214760425134,-0.40363544088324,-0.7767326041467396,-0.15978425654706765,0.30867765888286786,0.0061070025521452465,-0.07332251744883966,-0.029036044115039635,-0.0021323712952939413,0.8049232956920293,3,-0.006934730964318403,-0.4991384225006218,-0.05912330442108249,-0.45709502388811624,0.5718420637190322,0.6660753041709835,6.5,1.0,6.0,,Healthcare,,-0.03724659331235105,bear,-0.05809537440475706,0.65,0.65,0.643,0.4,0.17,0.0
NOW,2022-09-19,2022-09-23,84.55999755859375,76.58599853515625,-0.0943,4,📉 바닥반등,★★★★★ (6.0),0.6008,Technology,손절(-8.5%),25.906838044214567,-206.58,0,,-0.0139,0.0477,-0.0581,39.432734121575294,15.17385060558764,-0.18150095145732026,0.1260068210046139,0.040306996638702214,2.5212924676249893,-1.4314577166903149,-0.11037149041195608,0.046808188764537705,-0.09410030585427775,-0.13031040385458958,-0.018113991766128865,-0.08696562550819081,0.8583399212217758,3,-0.09556235771483407,-0.5334063942003596,-0.6227711666927732,-0.29350580957439776,0.43997537074026505,0.7152665062317611,6.0,1.0,5.5,,Technology,,-0.048309406750004946,bear,-0.15524251318406826,0.6,0.95,0.618,0.55,0.11,0.0
DE,2022-09-21,2022-09-26,342.41199863336766,314.61419534979416,-0.0812,5,📉 바닥반등,★★★★★ (7.0),0.542,Industrials,손절(-7.2%),6.6137747222125025,-183.85,0,,0.0427,0.09,0.1695,45.62206482636553,20.31032017556046,-2.723991419129405,0.15150531216685953,0.026933883289292828,0.17172437265611365,-1.7862872970114632,-0.00903725216434743,0.44987622242179687,-0.021221758600308283,-0.038010021182316,0.021024310782428075,-0.004716596351337576,0.9002372471659508,2,0.007088993833442442,-0.11832011039457631,-0.24773353461457914,-0.2919438772082921,0.32080348127094815,0.5258258497335218,7.0,7.0,8.0,,Industrials,,0.014273684145765547,bear,-0.0036357520596812104,0.7,0.55,0.605,0.45,0.46,0.0
NVDA,2022-09-29,2022-10-10,12.431696780132437,12.021236461439129,-0.033,11,📉 바닥반등,★★★★★ (6.0),0.5349,Technology,트레일링(-8.6%),163.48888429513067,-67.11,0,,-0.0124,0.0467,0.1881,35.778563227498026,31.84369714985541,0.028985654838353803,0.2823652548385028,0.05112688561774214,-0.562588884759665,-0.10199163083921103,-0.04311391125716437,0.024051543322961205,-0.03958981363518399,-0.17637803736355484,-0.10136567266225772,-0.19206343134754264,0.9146041968952576,2,-0.08425263119861678,-0.8656447610824985,-0.24325338503843488,-0.16463853423576427,0.2772057475432618,0.6855288472651087,6.0,1.0,6.5,,Technology,,-0.08041101105536609,bear,-0.32122984452422204,0.6,0.65,0.604,0.55,0.18,0.0
COST,2022-09-30,2022-10-17,459.8653889584614,441.6777485449631,-0.0395,17,📉 바닥반등,★★★★★ (6.0),0.4997,Consumer Defensive,트레일링(-6.5%),4.419650370040801,-80.38,0,,0.0765,0.0883,0.106,36.412563148750934,26.521697978917867,-2.527005071441863,0.18333061094833525,0.028039355005498513,-0.4349283996337442,-1.5578983303919767,-0.02289206856412573,0.33245542858071914,-0.016811345017599733,-0.08258942876865982,-0.02177124813352248,0.01268335334304894,1.1492066507133345,2,-0.1419308201180551,-0.4040614251243638,-0.271570287203702,-0.3498374392832843,-0.4600348582438558,0.7483005545247876,6.0,3.0,8.0,,Consumer Defensive,,-0.03474580142049831,bear,-0.052567449045012156,0.6,0.7,0.532,0.4,0.21,0.0
BA,2022-10-10,2022-10-25,131.4199981689453,142.08999633789062,0.0812,15,📉 바닥반등,★★★★★ (6.5),0.4558,Industrials,"시간익절(14일,+8.1%)",14.954638291823073,159.57,0,,0.0091,0.1938,0.214,38.9695444780736,23.63802396593965,0.31254336647397096,0.31652622338871017,0.044501765023481604,-1.349337704330446,-0.6882272382193638,-0.05927792288676156,0.11882618087060877,0.0719358384816624,-0.17604120260410716,-0.05920171625552031,-0.1228407902807862,1.162093162109349,3,-0.25071421566573426,-0.6575571224055144,-0.35415690821606144,-0.369425226942112,-0.4932229982100844,0.5898417346281077,6.5,0.75,6.0,,Industrials,,-0.09303058830809172,bear,-0.21648421165576104,0.65,0.65,0.478,0.3,0.17,0.0
CMG,2022-10-27,2022-11-03,29.803800582885742,28.074600219726562,-0.058,7,📉 바닥반등,★★★★★ (6.5),0.5421,Consumer Cyclical,트레일링(-6.4%),68.3967421130893,-118.27,0,,0.0479,0.0642,0.1433,39.984009110459255,18.603916486360614,0.08301191430806465,0.09292700692157763,0.03430341730895338,3.6374796579658626,0.16680129068228422,-0.11900409844348094,0.41278319423560894,-0.033512139847000966,-0.05781314071377153,-0.008354730567221415,0.014747809986697882,1.0464442516185979,4,0.04632946322675001,-0.3049022388337683,-0.0776441508346061,0.01153155873586617,-0.15358908311458006,0.7149710697182268,6.5,6.0,5.5,,Consumer Cyclical,,-0.052348287233673324,bear,-0.036332607346372656,0.65,0.95,0.606,0.3,0.16,0.0
DVN,2022-11-03,2022-11-10,58.26213158937823,59.09839629400834,0.0144,7,📈 모멘텀,★★★★★ (9.5),0.5463,Energy,트레일링(-7.3%),33.97313096536279,28.41,0,,0.0356,-0.0029,-0.1114,42.508881494173096,27.728697857345175,-0.24094575155702058,0.09514378384632233,0.052051395452915775,4.212297279173334,-2.2058494708888983,-0.10468285282075523,0.7592790486699542,-0.12324489982344589,-0.04853264288088277,0.049405526866733676,0.15783373531769473,1.0843102014386048,3,0.1164519937357782,0.12504309472673314,0.4030802253587372,-0.31011864439078707,-0.2738618052796339,0.6471813080416298,6.25,9.5,6.0,,Energy,,-0.15108308492506323,bear,0.13289192004371883,0.95,0.65,0.558,0.35,0.22,0.0
AMZN,2022-11-07,2022-11-10,91.94999694824219,92.94000244140625,0.0108,3,📉 바닥반등,★★★★★ (6.0),0.4919,Consumer Cyclical,트레일링(-6.3%),21.526341408377682,21.31,0,,0.0206,0.0051,-0.0414,26.63701182118986,32.12343005876387,-2.4356109167266595,0.030810448453939147,0.06011237720564753,0.8751356423483239,-1.8139739350958095,-0.09043918403361531,0.017591075341866057,-0.12020113978325175,-0.20583095935908824,-0.07002168840113507,-0.1188718235463439,1.5692938848365696,3,-0.3365622345809014,-0.8842467808476536,-0.4899744362339555,-0.40564116334857137,-0.956035502405582,0.9154881251670025,6.0,2.0,6.0,,Consumer Cyclical,,-0.2559239676463072,bear,-0.3017261568645044,0.6,0.75,0.464,0.4,0.12,0.0
CI,2022-11-15,2022-12-06,289.29843077256817,308.6330710819387,0.0668,21,📈 모멘텀,★★★★★ (10.0),0.4969,Healthcare,"시간익절(20일,+6.5%)",6.927821505087314,133.95,2,2022-11-30,0.0075,0.0053,-0.072,47.294658174996684,38.076527903027184,-2.07110141309815,0.341618694497312,0.03084145683548217,-0.024300176165864145,-0.4844531041137957,0.06285964249548788,0.8499931569843835,-0.05401229894888404,0.058395583753907854,0.03724772696831825,0.10861132680887489,1.2928203942041205,2,0.12766621519911742,0.43654860424146574,0.3974740217748595,0.041585590407110185,-0.7513587198774802,0.31584550187848426,5.75,10.0,6.0,,Healthcare,,-0.014902617949141342,bear,0.12738912836729824,1.0,0.55,0.564,0.4,0.22,0.05
