ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
MCD,2022-11-30,2022-12-20,250.1483680950403,247.64341430981636,-0.01,20,📈 모멘텀,★★★★★ (8.5),0.4789,Consumer Discretionary,"장기보유(19일,-1.4%)",9.089950778689763,-22.77,-0.0068,-0.0178,0.0062,55.034605463136664,27.8421541306888,-1.0322098329286566,0.2736147589764901,0.015461049200748802,-0.3641633603692269,-0.023958577282773064,-0.07039231487960468,0.8811734235133428,-0.011328953615935777,-0.004584634459398829,0.02778696856577488,0.04275209231725185,0.8506750902306071,2,0.16336854329120587,0.16422031064209844,0.20226639028403676,-0.18815693091663552,0.46034557403833887,0.10908415359278659,6.5,8.5,6.0,,Consumer Discretionary,,-0.027193670627658227,bear,0.07423853234125548,0.85,0.55,0.559,0.2,0.37,0.0
BLK,2022-12-20,2023-01-10,639.2359811584977,693.4738947367712,0.0848,21,📉 바닥반등,★★★★★ (7.5),0.4585,Unknown,"시간익절(20일,+9.0%)",3.5214952116169416,191.0,-0.003,0.0022,-0.0264,46.69605715943378,17.311267905215196,-4.956623501873626,0.024385059638332193,0.027633255653179287,-0.4857494458236258,1.086278934686476,0.31027410415186524,0.4464976409683643,-0.02363113533993577,-0.032425631855883874,0.03168917787820316,0.004671160827700616,0.9012161068375567,3,0.5329700151729665,0.1362160153400444,-0.19863566181004927,0.4970113776272495,0.3178733564202611,0.5329700151729665,7.5,7.0,6.0,,Unknown,,-0.002484499384084387,bear,0.01857122186017465,0.75,0.5,0.68,0.2,0.37,0.0
WFC,2022-12-19,2023-01-24,38.03570736356014,41.3203605909352,0.0864,36,📉 바닥반등,★★★★★ (8.5),0.5725,Financials,"시간익절(35일,+8.9%)",59.30462258379529,194.8,0.0436,0.0785,0.031,28.59492394766633,26.797030416932206,-0.4449252271405314,0.12352980992065732,0.02744698604502913,1.3527763835620663,-2.1446227893095764,-0.0656976377020771,0.2022904669168252,-0.030823806101018758,-0.10437073332917435,-0.012156056887748339,-0.0016309473380917545,0.9014577241575681,3,0.8724216301645917,-0.4050073535270383,-0.15302752907886963,-0.35465759164222455,0.317149159615475,0.8724216301645917,8.5,7.0,5.5,,Financials,,-0.03675841326180497,bear,-0.07436099322792024,0.85,0.95,0.66,0.2,0.26,0.0
CI,2023-01-13,2023-02-02,291.3748108221395,291.873825658226,0.0017,20,📈 모멘텀,★★★★★ (7.0),0.4258,Health Care,"장기보유(19일,+1.2%)",4.190590450846438,2.09,-0.0596,-0.0341,-0.0743,39.99165952791246,29.182835921014732,-2.486715777933837,0.25358850754945206,0.021098475331548388,-0.25836562976061256,-0.23991133295060352,0.03967796918182334,0.7678762101666026,0.01982307059456212,-0.06065104727940551,0.0014002286355894683,0.10168013974841592,0.8975585995050982,3,0.13755566855111523,-0.004266407924866822,0.22363090064809957,0.02125052336767959,0.3287903081562975,0.6248495890103456,6.75,7.0,8.0,,Health Care,,-0.027322907522429704,neutral,0.07740451911881659,0.7,0.35,0.612,0.2,0.26,0.0
CVS,2023-01-23,2023-02-08,77.47537131617034,76.5670394897461,-0.0117,16,📉 바닥반등,★★★★★ (6.0),0.4588,Health Care,교체→EL,15.76026650928224,-14.32,0.0276,0.0104,-0.1044,26.101767831623974,34.24899474300744,-0.18017099499618472,0.04907218094682248,0.019470458551205373,1.6283234920708693,-2.1560825291561243,-0.24439641235275408,0.013301330133013302,-0.017706875812846024,-0.07788518737090322,-0.030260135188625234,-0.0156678262999716,0.832341362142977,3,-0.1005578762666289,-0.39581162814215165,-0.11021109835504742,-0.5173044292073554,0.5071326893568683,0.9139199952803017,6.0,2.0,5.5,,Health Care,,-0.0750581793464034,neutral,-0.08461205467848562,0.6,0.95,0.682,0.2,0.11,0.05
SBUX,2023-02-06,2023-02-16,96.08636515567794,100.05915293852397,0.0413,10,📈 모멘텀,★★★★★ (11.0),0.6524,Consumer Discretionary,"시간익절(9일,+5.3%)",12.729419670248635,50.57,-0.0572,-0.0298,-0.0841,46.242669451343396,32.67953785017256,-0.23408823582987015,0.13024102103009974,0.021845821963327045,3.3355547039803333,-0.23579222054456686,0.18484699208816383,0.861924626244703,-0.043294927711379105,-0.001244790671234064,0.03587005257249445,0.09055833391389309,0.7742017699961652,3,0.5144481152971654,0.40897664730795624,0.49588720345400283,0.4493749732510624,0.6367336461818476,0.5144481152971654,6.25,11.0,6.0,,Consumer Discretionary,,-0.1674187691880022,neutral,0.10783958266932872,1.0,0.85,0.746,0.35,0.22,0.0
EL,2023-02-08,2023-02-27,243.4360713319388,231.1946634369361,-0.0503,19,📈 모멘텀,★★★★★ (9.0),0.5956,Unknown,손절(-5.9%),4.957017838739723,-60.68,0.03,-0.0385,-0.0102,47.51782576593667,30.433267933081797,-2.1839526265821263,0.18514746906119917,0.028106312829246256,1.7375262177439732,-2.423749903760267,0.13377883885067293,0.561763885571856,-0.05799751203274306,-0.0023698416693574975,0.04356145303110578,0.010684018211804328,0.8128586802798411,3,0.4419181446589289,0.2639219089893986,0.16508130278869063,0.04492878388471819,0.5537713164655749,0.4419181446589289,7.5,9.0,6.0,,Unknown,,-0.05969626663990995,neutral,0.03392131285225928,0.9,0.85,0.634,0.2,0.37,0.0
SCHW,2023-01-24,2023-02-28,73.63460912897064,74.80157694600034,0.0158,35,📉 바닥반등,★★★★★ (7.0),0.5235,Financials,"장기보유(34일,+1.2%)",33.279030320915034,38.84,-0.0411,-0.2748,-0.311,38.63823458907792,20.29221806183845,-0.8638641511570315,0.05065562751481308,0.027968044893263388,0.140068258065196,-0.23775989359497673,0.09665505638934255,0.5279097328290804,-0.0632682935761073,-0.043323131627204914,0.013096303275252298,0.05526352186220586,0.8852609770876091,2,0.3012377534642669,0.1680385596638253,0.04473648454497969,0.16308764141251128,0.36484488511683466,0.7589038585012933,7.0,7.0,6.0,,Financials,,-0.11907940102362244,neutral,0.024683773056019452,0.7,0.75,0.72,0.2,0.27,0.0
FCX,2023-03-01,2023-03-08,40.863583028135785,38.51345528147583,-0.0575,7,📉 바닥반등,★★★★★ (8.0),0.5013,Materials,트레일링(-8.2%),88.96332011839172,-209.08,-0.1156,-0.0575,0.0042,43.76267330531061,15.58923565975792,-0.3568726902332461,0.2141918512966161,0.036237981398942964,0.32090230990657237,-0.7070546998793501,0.14042536450776283,0.6151814250341737,-0.039615539146638956,-0.06844029793590956,0.01554285227005408,0.10328145520900552,0.774054595905022,2,0.5498226526903596,0.050617965064508,0.10474561121078081,0.1475503221377506,0.6370252395343969,0.5498226526903596,8.0,6.5,6.0,,Materials,,0.05233652521239529,bear,0.09224143673947309,0.8,0.5,0.708,0.35,0.27,0.0
ISRG,2023-02-16,2023-03-13,240.77000427246094,224.0,-0.0697,25,📉 바닥반등,★★★★★ (7.5),0.4985,Health Care,트레일링(-6.7%),5.290089824323468,-88.71,0.0737,0.1275,0.1731,43.68232735012846,15.678482899767017,-0.4418845335766557,0.2844842705355555,0.02709279577303287,-0.5634033555127326,-1.0771565038194715,0.10446285615390448,0.5038373708241713,-0.01639542588300158,-0.045172621631920706,-0.01121497584240248,0.018967030700307745,0.7919078775874691,2,0.4960161707061168,-0.2556012666297555,-0.24565072005815997,-0.032438932430778424,0.6003155721734564,0.4960161707061168,7.5,5.0,6.0,,Health Care,,-0.02155104911860072,bull,-0.013694716259580663,0.75,0.45,0.647,0.35,0.27,0.0
